ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-10-14,116.25972160330132,110.61365391920889,148.02976732721922,116.25972160330132,116.25972160330132,13.304202027719466,13.304202027719466,13.304202027719466,3.471246114120351,3.471246114120351,3.471246114120351,9.832955913599116,9.832955913599116,9.832955913599116,0.0,0.0,0.0,129.56392363102077
2022-10-17,116.36147320130901,105.70060782009702,143.89866392474235,116.36147320130901,116.36147320130901,8.819960803119013,8.819960803119013,8.819960803119013,-0.4100839399485864,-0.4100839399485864,-0.4100839399485864,9.230044743067598,9.230044743067598,9.230044743067598,0.0,0.0,0.0,125.18143400442803
2022-10-19,116.4293075999808,110.08398142990384,147.15798125635453,116.4293075999808,116.4293075999808,11.921789106836934,11.921789106836934,11.921789106836934,3.26952234339856,3.26952234339856,3.26952234339856,8.652266763438375,8.652266763438375,8.652266763438375,0.0,0.0,0.0,128.35109670681774
2022-10-21,116.49714199865262,109.7614736581267,147.62553072697716,116.49714199865262,116.49714199865262,11.550799520056747,11.550799520056747,11.550799520056747,3.4712461141176663,3.4712461141176663,3.4712461141176663,8.079553405939082,8.079553405939082,8.079553405939082,0.0,0.0,0.0,128.04794151870937
2022-10-24,116.59889359666032,103.35442889407717,143.62087730387597,116.59889359666032,116.59889359666032,7.0649659625156955,7.0649659625156955,7.0649659625156955,-0.41008393992515435,-0.41008393992515435,-0.41008393992515435,7.47504990244085,7.47504990244085,7.47504990244085,0.0,0.0,0.0,123.66385955917602
2022-10-26,116.66672799533211,108.314868712962,146.99712980848062,116.66672799533211,116.66672799533211,10.637205746938557,10.637205746938557,10.637205746938557,3.269522343393766,3.269522343393766,3.269522343393766,7.367683403544791,7.367683403544791,7.367683403544791,0.0,0.0,0.0,127.30393374227067
2022-10-31,116.8363139920116,104.91891946833776,143.31780473385473,116.8363139920116,116.8363139920116,8.011705934194985,8.011705934194985,8.011705934194985,-0.4100839399379808,-0.4100839399379808,-0.4100839399379808,8.421789874132966,8.421789874132966,8.421789874132966,0.0,0.0,0.0,124.84801992620658
2022-11-04,116.95948966766207,111.71051818291376,149.54997038992832,116.95948966766207,116.95948966766207,13.960097310230198,13.960097310230198,13.960097310230198,3.471246114112297,3.471246114112297,3.471246114112297,10.488851196117901,10.488851196117901,10.488851196117901,0.0,0.0,0.0,130.91958697789227
2022-11-07,117.05187142439995,110.48547056838504,148.9524844420347,117.05187142439995,117.05187142439995,12.036368443648286,12.036368443648286,12.036368443648286,-0.41008393993915365,-0.41008393993915365,-0.41008393993915365,12.44645238358744,12.44645238358744,12.44645238358744,0.0,0.0,0.0,129.08823986804822
2022-11-09,117.11345926222518,114.8719914845085,153.61466767454877,117.11345926222518,117.11345926222518,17.06996425543503,17.06996425543503,17.06996425543503,3.2695223433904865,3.2695223433904865,3.2695223433904865,13.800441912044542,13.800441912044542,13.800441912044542,0.0,0.0,0.0,134.1834235176602
2022-11-16,117.32901669461351,119.53446708898879,157.73948454495024,117.32901669461351,117.32901669461351,21.118352644180536,21.118352644180536,21.118352644180536,3.2695223433920013,3.2695223433920013,3.2695223433920013,17.848830300788535,17.848830300788535,17.848830300788535,0.0,0.0,0.0,138.44736933879406
2022-11-18,117.39060453243874,120.53760794956374,157.8748178471561,117.39060453243874,117.39060453243874,22.138237265499306,22.138237265499306,22.138237265499306,3.4712461141088466,3.4712461141088466,3.4712461141088466,18.66699115139046,18.66699115139046,18.66699115139046,0.0,0.0,0.0,139.52884179793804
2022-11-21,117.4829862891766,119.77403494992728,157.12197908195685,117.4829862891766,117.4829862891766,19.191622537703534,19.191622537703534,19.191622537703534,-0.41008393992854825,-0.41008393992854825,-0.41008393992854825,19.60170647763208,19.60170647763208,19.60170647763208,0.0,0.0,0.0,136.67460882688013
2022-11-23,117.54457412700184,121.379948937613,160.20710486526775,117.54457412700184,117.54457412700184,23.327765960857434,23.327765960857434,23.327765960857434,3.269522343393083,3.269522343393083,3.269522343393083,20.058243617464345,20.058243617464345,20.058243617464345,0.0,0.0,0.0,140.87234008785927
2022-11-25,117.6061619648271,122.16393001677305,159.96433035194553,117.6061619648271,117.6061619648271,23.879956720943568,23.879956720943568,23.879956720943568,3.4712461141164246,3.4712461141164246,3.4712461141164246,20.408710606827142,20.408710606827142,20.408710606827142,0.0,0.0,0.0,141.48611868577066
2022-12-02,117.78340958240061,122.97038261928077,160.50583507277892,117.78340958240061,117.78340958240061,24.454343590649252,24.454343590649252,24.454343590649252,3.47124611411374,3.47124611411374,3.47124611411374,20.983097476535512,20.983097476535512,20.983097476535512,0.0,0.0,0.0,142.23775317304987
2022-12-05,117.85937284707498,118.63665218422949,155.44218278205238,117.85937284707498,117.85937284707498,20.446372061361966,20.446372061361966,20.446372061361966,-0.41008393992441805,-0.41008393992441805,-0.41008393992441805,20.856456001286386,20.856456001286386,20.856456001286386,0.0,0.0,0.0,138.30574490843694
2022-12-07,117.91001502352454,121.78607390462294,158.97106689497457,117.91001502352454,117.91001502352454,23.84549454998789,23.84549454998789,23.84549454998789,3.2695223433961127,3.2695223433961127,3.2695223433961127,20.57597220659178,20.57597220659178,20.57597220659178,0.0,0.0,0.0,141.75550957351243
2022-12-14,118.08726264109805,120.42818919462687,157.60127928691227,118.08726264109805,118.08726264109805,21.083409411417552,21.083409411417552,21.083409411417552,3.2695223433913188,3.2695223433913188,3.2695223433913188,17.813887068026233,17.813887068026233,17.813887068026233,0.0,0.0,0.0,139.1706720525156
2022-12-21,118.26451025867158,113.62217458551443,153.38307002516527,118.26451025867158,118.26451025867158,15.467903129449079,15.467903129449079,15.467903129449079,3.2695223433928335,3.2695223433928335,3.2695223433928335,12.198380786056248,12.198380786056248,12.198380786056248,0.0,0.0,0.0,133.73241338812065
